destino,tipo,km,km_estimado,km_destapados,ruta,tamano,capacidad_desde,capacidad_hasta,precio_ida,precio_ida_vuelta
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",22-25 PX,22,25,1836353,2387258
ARGELIA,DESTINO,149,0,92,"Med,La ceja,La union,Sonson.92 Kms dest",30-42 PX,30,42,2350999,3056299
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",12 PX,12,12,631612,899428
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",14 PX,14,14,783666,1115957
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",16 PX,16,16,842149,1199237
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",19 PX,19,19,959114,1246848
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",22-25 PX,22,25,1005900,1307670
ARMENIA (ANT),DESTINO,51,0,30,"Med,San antonio de prado.30 Kms dest",30-42 PX,30,42,1286616,1672601
ARMENIA (QUINDIO),DESTINO,323,0,,"Med, Irra, Chinchina, Pereira",12 PX,12,12,2421178,3447806
ARMENIA (QUINDIO),DESTINO,323,0,,"Med, Irra, Chinchina, Pereira",14 PX,14,14,2573233,3664335
ARMENIA (QUINDIO),DESTINO,323,0,,"Med, Irra, Chinchina, Pereira",16 PX,16,16,2853949,4064081
ARMENIA (QUINDIO),DESTINO,323,0,,"Med, Irra, Chinchina, Pereira",19 PX,19,19,3158059,4105476
ARMENIA (QUINDIO),DESTINO,323,0,,"Med, Irra, Chinchina, Pereira",22-25 PX,22,25,3625919,4713695
ARMENIA (QUINDIO),DESTINO,323,0,,"Med, Irra, Chinchina, Pereira",30-42 PX,30,42,3930028,5109037
AYAPEL,DESTINO,330,0,,"Med, Yarumal. Caucasia",12 PX,12,12,2970914,4230641
AYAPEL,DESTINO,330,0,,"Med, Yarumal. Caucasia",14 PX,14,14,3251631,4630387
AYAPEL,DESTINO,330,0,,"Med, Yarumal. Caucasia",16 PX,16,16,3508954,4996821
AYAPEL,DESTINO,330,0,,"Med, Yarumal. Caucasia",19 PX,19,19,3859849,5017804
AYAPEL,DESTINO,330,0,,"Med, Yarumal. Caucasia",22-25 PX,22,25,4327710,5626023
AYAPEL,DESTINO,330,0,,"Med, Yarumal. Caucasia",30-42 PX,30,42,5415486,7040131
BALSILLAS,DESTINO,590,0,,"Med, Sincelejo, Tolú Viejo, Sn Onorfe",12 PX,12,12,4912535,6995549
BALSILLAS,DESTINO,590,0,,"Med, Sincelejo, Tolú Viejo, Sn Onorfe",14 PX,14,14,5520754,7861664
BALSILLAS,DESTINO,590,0,,"Med, Sincelejo, Tolú Viejo, Sn Onorfe",16 PX,16,16,5731291,8161474
BALSILLAS,DESTINO,590,0,,"Med, Sincelejo, Tolú Viejo, Sn Onorfe",19 PX,19,19,6152366,7998076
BALSILLAS,DESTINO,590,0,,"Med, Sincelejo, Tolú Viejo, Sn Onorfe",22-25 PX,22,25,6433082,8363007
BALSILLAS,DESTINO,590,0,,"Med, Sincelejo, Tolú Viejo, Sn Onorfe",30-42 PX,30,42,6900943,8971226
BARBOSA,DESTINO,38,0,,"Med, Autopista Norte",12 PX,12,12,421074,599618
BARBOSA,DESTINO,38,0,,"Med, Autopista Norte",14 PX,14,14,467861,666243
BARBOSA,DESTINO,38,0,,"Med, Autopista Norte",16 PX,16,16,514647,732867
BARBOSA,DESTINO,38,0,,"Med, Autopista Norte",19 PX,19,19,584826,760273
BARBOSA,DESTINO,38,0,,"Med, Autopista Norte",22-25 PX,22,25,678398,881917
BARBOSA,DESTINO,38,0,,"Med, Autopista Norte",30-42 PX,30,42,760273,988355
BARRANCABERMEJA,DESTINO,410,0,,"Med, Via Puerto Berrio",12 PX,12,12,3158059,4497139
BARRANCABERMEJA,DESTINO,410,0,,"Med, Via Puerto Berrio",14 PX,14,14,3321810,4730323
BARRANCABERMEJA,DESTINO,410,0,,"Med, Via Puerto Berrio",16 PX,16,16,3625919,5163381
BARRANCABERMEJA,DESTINO,410,0,,"Med, Via Puerto Berrio",19 PX,19,19,3906635,5078626
BARRANCABERMEJA,DESTINO,410,0,,"Med, Via Puerto Berrio",22-25 PX,22,25,4257531,5534790
BARRANCABERMEJA,DESTINO,410,0,,"Med, Via Puerto Berrio",30-42 PX,30,42,5754684,7481090
BARRANQUILLA,DESTINO,745,0,,"Med, Caucasia, Calamar",12 PX,12,12,5731291,8161474
BARRANQUILLA,DESTINO,745,0,,"Med, Caucasia, Calamar",14 PX,14,14,5848257,8328034
BARRANQUILLA,DESTINO,745,0,,"Med, Caucasia, Calamar",16 PX,16,16,6222545,8861028
BARRANQUILLA,DESTINO,745,0,,"Med, Caucasia, Calamar",19 PX,19,19,6667012,8667116
BARRANQUILLA,DESTINO,745,0,,"Med, Caucasia, Calamar",22-25 PX,22,25,7134873,9275335
BARRANQUILLA,DESTINO,745,0,,"Med, Caucasia, Calamar",30-42 PX,30,42,8327917,10826292
BARICHARA,DESTINO,540,0,,,12 PX,12,12,4117173,5862936
BARICHARA,DESTINO,540,0,,,14 PX,14,14,4397889,6262682
BARICHARA,DESTINO,540,0,,,16 PX,16,16,4678605,6662427
BARICHARA,DESTINO,540,0,,,19 PX,19,19,5216645,6781638
BARICHARA,DESTINO,540,0,,,22-25 PX,22,25,5544147,7207391
BARICHARA,DESTINO,540,0,,,30-42 PX,30,42,6082187,7906843
BELLO,DESTINO,10,0,,"Med, Autopista Norte",12 PX,12,12,257323,366434
BELLO,DESTINO,10,0,,"Med, Autopista Norte",14 PX,14,14,269020,383090
BELLO,DESTINO,10,0,,"Med, Autopista Norte",16 PX,16,16,280716,399746
BELLO,DESTINO,10,0,,"Med, Autopista Norte",19 PX,19,19,304109,395342
BELLO,DESTINO,10,0,,"Med, Autopista Norte",22-25 PX,22,25,374288,486575
BELLO,DESTINO,10,0,,"Med, Autopista Norte",30-42 PX,30,42,397681,516986
BELMIRA,DESTINO,66,0,,"Med,San pedro",12 PX,12,12,573129,816147
BELMIRA,DESTINO,66,0,,"Med,San pedro",14 PX,14,14,608219,866116
BELMIRA,DESTINO,66,0,,"Med,San pedro",16 PX,16,16,666701,949396
BELMIRA,DESTINO,66,0,,"Med,San pedro",19 PX,19,19,736880,957944
BELMIRA,DESTINO,66,0,,"Med,San pedro",22-25 PX,22,25,818756,1064383
BELMIRA,DESTINO,66,0,,"Med,San pedro",30-42 PX,30,42,1017597,1322876
BETANIA,DESTINO,118,0,18,"Med,Amaga,Bolombolo,Hispa nia.18 Kms dest",12 PX,12,12,1017597,1449078
BETANIA,DESTINO,118,0,18,"Med,Amaga,Bolombolo,Hispa nia.18 Kms dest",14 PX,14,14,1111169,1582327
BETANIA,DESTINO,118,0,18,"Med,Amaga,Bolombolo,Hispa nia.18 Kms dest",16 PX,16,16,1193044,1698919
BETANIA,DESTINO,118,0,18,"Med,Amaga,Bolombolo,Hispa nia.18 Kms dest",19 PX,19,19,1263223,1642190
BETANIA,DESTINO,118,0,18,"Med,Amaga,Bolombolo,Hispa nia.18 Kms dest",22-25 PX,22,25,1380189,1794245
BETANIA,DESTINO,118,0,18,"Med,Amaga,Bolombolo,Hispa nia.18 Kms dest",30-42 PX,30,42,1520547,1976711
BETULIA,DESTINO,131,0,15,"Med,Amaga,Bolombolo,Conco rdia.15 Kms dest",12 PX,12,12,1087776,1549014
BETULIA,DESTINO,131,0,15,"Med,Amaga,Bolombolo,Conco rdia.15 Kms dest",14 PX,14,14,1169651,1665607
BETULIA,DESTINO,131,0,15,"Med,Amaga,Bolombolo,Conco rdia.15 Kms dest",16 PX,16,16,1310009,1865480
BETULIA,DESTINO,131,0,15,"Med,Amaga,Bolombolo,Conco rdia.15 Kms dest",19 PX,19,19,1450368,1885478
BETULIA,DESTINO,131,0,15,"Med,Amaga,Bolombolo,Conco rdia.15 Kms dest",22-25 PX,22,25,1637512,2128765
BETULIA,DESTINO,131,0,15,"Med,Amaga,Bolombolo,Conco rdia.15 Kms dest",30-42 PX,30,42,1824656,2372053
BOGOTA,DESTINO,430,0,,"Med, Autopista Villeta",12 PX,12,12,3286720,4680355
BOGOTA,DESTINO,430,0,,"Med, Autopista Villeta",14 PX,14,14,3649312,5196693
BOGOTA,DESTINO,430,0,,"Med, Autopista Villeta",16 PX,16,16,4234138,6029497
BOGOTA,DESTINO,430,0,,"Med, Autopista Villeta",19 PX,19,19,4514854,5869310
BOGOTA,DESTINO,430,0,,"Med, Autopista Villeta",22-25 PX,22,25,4854053,6310269
BOGOTA,DESTINO,430,0,,"Med, Autopista Villeta",30-42 PX,30,42,5848257,7602733
BOLOMBOLO,DESTINO,82,0,,,12 PX,12,12,771970,1099301
BOLOMBOLO,DESTINO,82,0,,,14 PX,14,14,818756,1165925
BOLOMBOLO,DESTINO,82,0,,,16 PX,16,16,935721,1332485
BOLOMBOLO,DESTINO,82,0,,,19 PX,19,19,982507,1277259
BOLOMBOLO,DESTINO,82,0,,,22-25 PX,22,25,1099472,1429314
BOLOMBOLO,DESTINO,82,0,,,30-42 PX,30,42,1286616,1672601
BOQUERON,DESTINO,30,0,,"Med, Carretera al Mar",12 PX,12,12,362592,516338
BOQUERON,DESTINO,30,0,,"Med, Carretera al Mar",14 PX,14,14,397681,566306
BOQUERON,DESTINO,30,0,,"Med, Carretera al Mar",16 PX,16,16,444468,632931
BOQUERON,DESTINO,30,0,,"Med, Carretera al Mar",19 PX,19,19,514647,669041
BOQUERON,DESTINO,30,0,,"Med, Carretera al Mar",22-25 PX,22,25,587165,763314
BOQUERON,DESTINO,30,0,,"Med, Carretera al Mar",30-42 PX,30,42,655005,851506
BOYACÁ,DESTINO,842,1,,"Med, Autopista Villeta, Bogota",12 PX,12,12,6012008,8561219
BOYACÁ,DESTINO,842,1,,"Med, Autopista Villeta, Bogota",14 PX,14,14,6245938,8894341
BOYACÁ,DESTINO,842,1,,"Med, Autopista Villeta, Bogota",16 PX,16,16,6667012,9493959
BOYACÁ,DESTINO,842,1,,"Med, Autopista Villeta, Bogota",19 PX,19,19,6947729,9032047
BOYACÁ,DESTINO,842,1,,"Med, Autopista Villeta, Bogota",22-25 PX,22,25,7298624,9488211
BOYACÁ,DESTINO,842,1,,"Med, Autopista Villeta, Bogota",30-42 PX,30,42,8889350,11556155
BRICEÑO,DESTINO,194,0,65,"Med,Sta Rosa,Yarumal.65 Kms dest",12 PX,12,12,1929925,2748251
BRICEÑO,DESTINO,194,0,65,"Med,Sta Rosa,Yarumal.65 Kms dest",14 PX,14,14,2023497,2881500
BRICEÑO,DESTINO,194,0,65,"Med,Sta Rosa,Yarumal.65 Kms dest",16 PX,16,16,2105372,2998092
BRICEÑO,DESTINO,194,0,65,"Med,Sta Rosa,Yarumal.65 Kms dest",19 PX,19,19,2222337,2889039
BRICEÑO,DESTINO,194,0,65,"Med,Sta Rosa,Yarumal.65 Kms dest",22-25 PX,22,25,2386089,3101915
BRICEÑO,DESTINO,194,0,65,"Med,Sta Rosa,Yarumal.65 Kms dest",30-42 PX,30,42,2760377,3588490
BUCARAMANGA,DESTINO,550,0,,"Med, Puerto Berrio",12 PX,12,12,4093780,5829624
BUCARAMANGA,DESTINO,550,0,,"Med, Puerto Berrio",14 PX,14,14,4374496,6229370
BUCARAMANGA,DESTINO,550,0,,"Med, Puerto Berrio",16 PX,16,16,5029501,7162109
BUCARAMANGA,DESTINO,550,0,,"Med, Puerto Berrio",19 PX,19,19,5380396,6994515
BUCARAMANGA,DESTINO,550,0,,"Med, Puerto Berrio",22-25 PX,22,25,5848257,7602733
BUCARAMANGA,DESTINO,550,0,,"Med, Puerto Berrio",30-42 PX,30,42,6128973,7967665
BUENAVENTURA,DESTINO,510,0,,"Med, Buga, Lobo Guerrero",12 PX,12,12,3415382,4863572
BUENAVENTURA,DESTINO,510,0,,"Med, Buga, Lobo Guerrero",14 PX,14,14,4093780,5829624
BUENAVENTURA,DESTINO,510,0,,"Med, Buga, Lobo Guerrero",16 PX,16,16,4444675,6329306
BUENAVENTURA,DESTINO,510,0,,"Med, Buga, Lobo Guerrero",19 PX,19,19,4795570,6234241
BUENAVENTURA,DESTINO,510,0,,"Med, Buga, Lobo Guerrero",22-25 PX,22,25,5263431,6842460
BUENAVENTURA,DESTINO,510,0,,"Med, Buga, Lobo Guerrero",30-42 PX,30,42,5661112,7359446
BUGA,DESTINO,384,0,,"Med, Irra, Pereira, Cartago",12 PX,12,12,2924128,4164017
BUGA,DESTINO,384,0,,"Med, Irra, Pereira, Cartago",14 PX,14,14,3041093,4330578
BUGA,DESTINO,384,0,,"Med, Irra, Pereira, Cartago",16 PX,16,16,3228238,4597075
BUGA,DESTINO,384,0,,"Med, Irra, Pereira, Cartago",19 PX,19,19,3438775,4470407
BUGA,DESTINO,384,0,,"Med, Irra, Pereira, Cartago",22-25 PX,22,25,3930028,5109037
BUGA,DESTINO,384,0,,"Med, Irra, Pereira, Cartago",30-42 PX,30,42,5146466,6690405
BURITICA,DESTINO,127,0,48,"Med,Antioquia.48 Kms dest",12 PX,12,12,1204741,1715575
BURITICA,DESTINO,127,0,48,"Med,Antioquia.48 Kms dest",14 PX,14,14,1286616,1832168
BURITICA,DESTINO,127,0,48,"Med,Antioquia.48 Kms dest",16 PX,16,16,1356796,1932104
BURITICA,DESTINO,127,0,48,"Med,Antioquia.48 Kms dest",19 PX,19,19,1497154,1946300
BURITICA,DESTINO,127,0,48,"Med,Antioquia.48 Kms dest",22-25 PX,22,25,1684298,2189587
BURITICA,DESTINO,127,0,48,"Med,Antioquia.48 Kms dest",30-42 PX,30,42,1988407,2584929
CACERES,DESTINO,234,0,,"Med,Valdivia",12 PX,12,12,1719387,2448442
CACERES,DESTINO,234,0,,"Med,Valdivia",14 PX,14,14,1812960,2581691
CACERES,DESTINO,234,0,,"Med,Valdivia",16 PX,16,16,1894835,2698283
CACERES,DESTINO,234,0,,"Med,Valdivia",19 PX,19,19,2011800,2615340
CACERES,DESTINO,234,0,,"Med,Valdivia",22-25 PX,22,25,2222337,2889039
CACERES,DESTINO,234,0,,"Med,Valdivia",30-42 PX,30,42,3193148,4151092
CAICEDO,DESTINO,230,0,70,"Med,Antioquia.70 Kms dest",12 PX,12,12,1590726,2265225
CAICEDO,DESTINO,230,0,70,"Med,Antioquia.70 Kms dest",14 PX,14,14,1695994,2415130
CAICEDO,DESTINO,230,0,70,"Med,Antioquia.70 Kms dest",16 PX,16,16,1777870,2531722
CAICEDO,DESTINO,230,0,70,"Med,Antioquia.70 Kms dest",19 PX,19,19,1894835,2463286
CAICEDO,DESTINO,230,0,70,"Med,Antioquia.70 Kms dest",22-25 PX,22,25,2081979,2706573
CAICEDO,DESTINO,230,0,70,"Med,Antioquia.70 Kms dest",30-42 PX,30,42,2807163,3649312
CALDAS,DESTINO,22,0,,"Med, Itagui, Autopista Sur",12 PX,12,12,327502,466370
CALDAS,DESTINO,22,0,,"Med, Itagui, Autopista Sur",14 PX,14,14,350895,499682
CALDAS,DESTINO,22,0,,"Med, Itagui, Autopista Sur",16 PX,16,16,385985,549650
CALDAS,DESTINO,22,0,,"Med, Itagui, Autopista Sur",19 PX,19,19,432771,562602
CALDAS,DESTINO,22,0,,"Med, Itagui, Autopista Sur",22-25 PX,22,25,479557,623424
CALDAS,DESTINO,22,0,,"Med, Itagui, Autopista Sur",30-42 PX,30,42,584826,760273
